Sort Name,Date and Time,Test Number,Git Branch,Git Hash,Command Line Executed,Text File,Count of Strings,Type of File,Execution Time (real, to nearest ms)
bubbleSort,10/13/22 23:17:10,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./bubbleSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.005
bubbleSort,10/13/22 23:17:10,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./bubbleSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./bubbleSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./bubbleSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e0.txt | ./bubbleSort > /dev/null,ordered.txt10e0.txt,1,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./bubbleSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./bubbleSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./bubbleSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./bubbleSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e1.txt | ./bubbleSort > /dev/null,ordered.txt10e1.txt,10,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./bubbleSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./bubbleSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./bubbleSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./bubbleSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e2.txt | ./bubbleSort > /dev/null,ordered.txt10e2.txt,100,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./bubbleSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./bubbleSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./bubbleSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
bubbleSort,10/13/22 23:17:10,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./bubbleSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e3.txt | ./bubbleSort > /dev/null,ordered.txt10e3.txt,1000,ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e4.txt | ./bubbleSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e4.txt | ./bubbleSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
bubbleSort,10/13/22 23:17:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e4.txt | ./bubbleSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
bubbleSort,10/13/22 23:17:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e4.txt | ./bubbleSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e4.txt | ./bubbleSort > /dev/null,ordered.txt10e4.txt,10000,ordered.txt,0.012
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e5.txt | ./bubbleSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.083
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e5.txt | ./bubbleSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.087
bubbleSort,10/13/22 23:17:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e5.txt | ./bubbleSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.087
bubbleSort,10/13/22 23:17:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e5.txt | ./bubbleSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.084
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat ordered.txt10e5.txt | ./bubbleSort > /dev/null,ordered.txt10e5.txt,100000,ordered.txt,0.083
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e0.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e0.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e0.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e0.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e0.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e0.txt,1,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e1.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e1.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e1.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e1.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e1.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e1.txt,10,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e2.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.005
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e2.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e2.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e2.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.005
bubbleSort,10/13/22 23:17:11,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e2.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e2.txt,100,reverse-ordered.txt,0.004
bubbleSort,10/13/22 23:17:11,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e3.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.065
bubbleSort,10/13/22 23:17:11,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e3.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.070
bubbleSort,10/13/22 23:17:12,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e3.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.066
bubbleSort,10/13/22 23:17:12,4,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e3.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.065
bubbleSort,10/13/22 23:17:12,5,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e3.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e3.txt,1000,reverse-ordered.txt,0.076
bubbleSort,10/13/22 23:17:18,1,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e4.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,6.090
bubbleSort,10/13/22 23:17:24,2,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e4.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,6.088
bubbleSort,10/13/22 23:17:30,3,main,1da23fd59dff3c1c40999d0af8b14131c519a50f,time cat reverse-ordered.txt10e4.txt | ./bubbleSort > /dev/null,reverse-ordered.txt10e4.txt,10000,reverse-ordered.txt,6.139
